"","V1"
"AC007347.1",4.84928571428571
"AC007359.6",0
"AC007362.1",3.74357142857143
"AC007365.3",0.196428571428571
"AC007365.4",0
"AC007383.3",2.67428571428571
"AC007383.4",0.005
"AC007383.6",0
"AC007386.2",1.77285714285714
"AC007387.2",0
"AC007389.3",0
"AC007390.5",36.1021428571429
"AC007392.3",0
"AC007395.4",0.00642857142857143
"AC007401.1",0.0435714285714286
"AC007401.2",0.0635714285714286
"AC007405.4",0.275
"AC007405.6",3.24285714285714
"AC007405.8",0.0171428571428571
"AC007551.2",0.00285714285714286
"AC007551.3",0.745714285714286
"AC007560.1",0.16
"AC007562.1",0
"AC007563.4",0
"AC007566.11",0.00285714285714286
"AC007620.3",0.303571428571429
"AC007679.1",0
"AC007679.3",0
"AC007682.1",0.0264285714285714
"AC007743.1",0.0785714285714286
"AC007790.4",0
"AC007875.3",0
"AC007879.5",0.300714285714286
"AC007881.1",0
"AC007881.4",0
"AC007899.3",0
"AC007919.18",0
"AC007952.5",0.232142857142857
"AC007952.6",0.599285714285714
"AC007956.1",0.132142857142857
"AC007969.5",26.5964285714286
"AC008063.2",0.0192857142857143
"AC008065.1",0.222142857142857
"AC008067.2",0
"AC008073.7",0
"AC008074.3",0.193571428571429
"AC008088.4",0.215714285714286
"AC008132.12",0.287857142857143
"AC008132.13",0.00285714285714286
"AC008147.1",0
"AC008147.2",0
"AC008155.1",0
"AC008175.1",0
"AC008264.4",0.025
"AC008267.1",0.000714285714285714
"AC008277.1",0.00285714285714286
"AC008280.1",0
"AC008391.1",0
"AC008394.1",0.0121428571428571
"AC008427.2",0.0792857142857143
"AC008440.5",0
"AC008443.1",6.035
"AC008555.1",0
"AC008555.2",0
"AC008592.3",0.0514285714285714
"AC008592.4",0
"AC008592.8",0.0221428571428571
"AC008686.1",0
"AC008694.2",0
"AC008697.1",0.182142857142857
"AC008703.1",0.00357142857142857
"AC008731.1",0.0292857142857143
"AC008746.12",0.623571428571428
"AC008753.3",0
"AC008753.6",0.0342857142857143
"AC008834.2",0
"AC008850.3",0.0385714285714286
"AC008865.1",8.455
"AC008914.1",0
"AC008938.1",0
"AC008948.1",0.00857142857142857
"AC008964.1",0.0121428571428571
"AC008982.2",0.864285714285715
"AC008984.2",0.00928571428571429
"AC009005.2",4.78214285714286
"AC009052.12",0
"AC009060.1",0.112857142857143
"AC009061.1",0.21
"AC009065.1",0.0392857142857143
"AC009093.1",0.0407142857142857
"AC009095.4",0
"AC009107.1",0.169285714285714
"AC009120.10",0
"AC009120.3",0.957142857142857
"AC009120.6",1.22214285714286
"AC009120.8",0
"AC009133.12",0.419285714285714
"AC009133.14",0.596428571428571
"AC009133.15",0.0664285714285714
